experiment,feature_set,model,test_f1,test_recall,test_precision,test_auc,threshold,confusion_matrix
E13,Group_F_Literature,SVM_RBF,0.5915,0.7368,0.4941,0.8432,0.43,"[[161, 43], [15, 42]]"
E13,Group_E_Top30_Stage1,CatBoost_Opt,0.5909,0.6842,0.52,0.8451,0.37,"[[168, 36], [18, 39]]"
E15,Group_B_Financial_Health,SVM_C2.0_g0.1_cwbalanced,0.589041095890411,0.7543859649122807,0.4831460674157303,0.8323873409012728,0.315,
E15,Group_B_Financial_Health,"SVM_C2.0_g0.1_cw{0: 1, 1: 1}",0.589041095890411,0.7543859649122807,0.4831460674157303,0.8323873409012728,0.315,
E8,Group_E_Top30_Stage1,HistGBM,0.589,0.8421,0.4528,0.8412,0.12,"[[146, 58], [9, 48]]"
E14,Group_B_Financial_Health,SVM_isotonic_fine,0.5882352941176471,0.6140350877192983,0.5645161290322581,,0.305,"[[177, 27], [22, 35]]"
E9,Group_D_Hybrid_Extended,HistGBM_Optuna,0.5882,0.7895,0.4688,0.8433,0.2,"[[153, 51], [12, 45]]"
E8,Group_E_Top30_Stage1,RandomForest,0.5882,0.7895,0.4688,0.8422,0.32,"[[153, 51], [12, 45]]"
E9,Group_D_Hybrid_Extended,CatBoost_calib_isotonic,0.5844,0.7895,0.4639,0.8274,0.32,"[[152, 52], [12, 45]]"
E13,Group_B_Financial_Health,HistGBM_Opt,0.5839,0.7018,0.5,0.8441,0.53,"[[164, 40], [17, 40]]"
E8,Group_F_Literature,CatBoost,0.5839,0.7018,0.5,0.8532,0.22,"[[164, 40], [17, 40]]"
E8,Group_C_Dynamic_Temporal,LogReg,0.5833,0.7368,0.4828,0.8362,0.44,"[[159, 45], [15, 42]]"
E13,Group_F_Literature,HistGBM_Opt,0.5828,0.7719,0.4681,0.8326,0.45,"[[154, 50], [13, 44]]"
E8,Group_D_Hybrid_Extended,RandomForest,0.5823,0.807,0.4554,0.83,0.37,"[[149, 55], [11, 46]]"
E15,Group_B_Financial_Health,SVM_C4.0_gscale_cwbalanced,0.5815602836879432,0.7192982456140351,0.4880952380952381,0.8355693154454764,0.38,
E15,Group_B_Financial_Health,"SVM_C4.0_gscale_cw{0: 1, 1: 1}",0.5815602836879432,0.7192982456140351,0.4880952380952381,0.8355693154454764,0.38,
E9,Group_E_Top30_Stage1,HistGBM_Optuna,0.5793,0.7368,0.4773,0.8578,0.44,"[[158, 46], [15, 42]]"
E13,Group_D_Hybrid_Extended,HistGBM_Opt,0.5781,0.6491,0.5211,0.8347,0.57,"[[170, 34], [20, 37]]"
E15,Group_B_Financial_Health,SVM_C8.0_g0.03_cwbalanced,0.5777777777777777,0.6842105263157895,0.5,0.8272273821809426,0.43,
E15,Group_B_Financial_Health,"SVM_C8.0_g0.03_cw{0: 1, 1: 1}",0.5777777777777777,0.6842105263157895,0.5,0.8272273821809426,0.43,
E15,Group_B_Financial_Health,"SVM_C4.0_g0.1_cw{0: 1, 1: 2}",0.5766871165644172,0.8245614035087719,0.4433962264150943,0.8673890608875129,0.215,
E9,Group_F_Literature,CatBoost_Optuna,0.5758,0.6667,0.5067,0.8488,0.29,"[[167, 37], [19, 38]]"
E10,Group_E_Top30_Stage1,Stack_SVM_CB_HG,0.5741,0.5439,0.6078,0.8561,0.48,"[[184, 20], [26, 31]]"
E8,Group_F_Literature,SVM_RBF,0.5738,0.614,0.5385,0.84,0.51,"[[174, 30], [22, 35]]"
E9,Group_E_Top30_Stage1,CatBoost_calib_isotonic,0.5734,0.7193,0.4767,0.8552,0.3,"[[159, 45], [16, 41]]"
E13,Group_F_Literature,CatBoost_Opt,0.5714,0.6316,0.5217,0.8316,0.45,"[[171, 33], [21, 36]]"
E13,Group_E_Top30_Stage1,HistGBM_Opt,0.5694,0.7193,0.4713,0.8406,0.47,"[[158, 46], [16, 41]]"
E8,Group_B_Financial_Health,LogReg,0.5694,0.7193,0.4713,0.8396,0.48,"[[158, 46], [16, 41]]"
E13,Group_B_Financial_Health,CatBoost_Opt,0.5672,0.6667,0.4935,0.8259,0.4,"[[165, 39], [19, 38]]"
E9,Group_D_Hybrid_Extended,CatBoost_Optuna,0.5669,0.6316,0.5143,0.8087,0.36,"[[170, 34], [21, 36]]"
E8,Group_E_Top30_Stage1,SVM_RBF,0.5641,0.5789,0.55,0.7968,0.58,"[[177, 27], [24, 33]]"
E8,Group_A_Altman_Core,LogReg,0.5641,0.7719,0.4444,0.8107,0.49,"[[149, 55], [13, 44]]"
E13,Group_F_Literature,Stack_SVM_CB_HG,0.5629,0.8246,0.4273,0.827,0.42,"[[141, 63], [10, 47]]"
E8,Group_B_Financial_Health,RandomForest,0.5621,0.7544,0.4479,0.7983,0.41,"[[151, 53], [14, 43]]"
E8,Group_F_Literature,LogReg,0.5616,0.7193,0.4607,0.8301,0.44,"[[156, 48], [16, 41]]"
E13,Group_D_Hybrid_Extended,Stack_SVM_CB_HG,0.5612,0.6842,0.4756,0.842,0.52,"[[161, 43], [18, 39]]"
E8,Group_G_Stage1_Selected,LogReg,0.5612,0.6842,0.4756,0.8188,0.58,"[[161, 43], [18, 39]]"
E9,Group_B_Financial_Health,CatBoost_Optuna,0.5612,0.6842,0.4756,0.8166,0.32,"[[161, 43], [18, 39]]"
E8,Group_D_Hybrid_Extended,LogReg,0.5612,0.6842,0.4756,0.8188,0.58,"[[161, 43], [18, 39]]"
E13,Group_D_Hybrid_Extended,CatBoost_Opt,0.56,0.614,0.5147,0.8411,0.38,"[[171, 33], [22, 35]]"
E8,Group_D_Hybrid_Extended,HistGBM,0.5595,0.8246,0.4234,0.8255,0.13,"[[140, 64], [10, 47]]"
E8,Group_G_Stage1_Selected,HistGBM,0.5595,0.8246,0.4234,0.8255,0.13,"[[140, 64], [10, 47]]"
E8,Group_C_Dynamic_Temporal,RandomForest,0.5593,0.5789,0.541,0.8249,0.4,"[[176, 28], [24, 33]]"
E13,Group_C_Dynamic_Temporal,CatBoost_Opt,0.5588,0.6667,0.481,0.8312,0.28,"[[163, 41], [19, 38]]"
E9,Group_F_Literature,HistGBM_Optuna,0.5588,0.6667,0.481,0.8247,0.23,"[[163, 41], [19, 38]]"
E9,Group_F_Literature,CatBoost_calib_isotonic,0.5584,0.7544,0.4433,0.8583,0.27,"[[150, 54], [14, 43]]"
E8,Group_A_Altman_Core,HistGBM,0.5584,0.7544,0.4433,0.8231,0.35,"[[150, 54], [14, 43]]"
E13,Group_B_Financial_Health,Stack_SVM_CB_HG,0.5564,0.6491,0.4868,0.8434,0.47,"[[165, 39], [20, 37]]"
E8,Group_C_Dynamic_Temporal,CatBoost,0.5556,0.614,0.5072,0.8236,0.25,"[[170, 34], [22, 35]]"
E10,Group_E_Top30_Stage1,CatBoost_BorderSMOTE,0.5546,0.5789,0.5323,0.815,0.36,"[[175, 29], [24, 33]]"
E13,Group_G_Stage1_Selected,HistGBM_Opt,0.5538,0.6316,0.4932,0.8365,0.56,"[[167, 37], [21, 36]]"
E8,Group_E_Top30_Stage1,LogReg,0.5517,0.7018,0.4545,0.8149,0.49,"[[156, 48], [17, 40]]"
E8,Group_G_Stage1_Selected,RandomForest,0.55,0.7719,0.4272,0.8185,0.37,"[[145, 59], [13, 44]]"
E10,Group_F_Literature,CatBoost_BorderSMOTE,0.5493,0.6842,0.4588,0.8375,0.32,"[[158, 46], [18, 39]]"
E14,Group_B_Financial_Health,Vote3_isotonic_fine,0.5490196078431373,0.7368421052631579,0.4375,,0.577,"[[150, 54], [15, 42]]"
E10,Group_B_Engineered,Stack_Eng,0.5479,0.7018,0.4494,0.8174,0.4,"[[155, 49], [17, 40]]"
E8,Group_C_Dynamic_Temporal,SVM_RBF,0.5439,0.5439,0.5439,0.7659,0.47,"[[178, 26], [26, 31]]"
E9,Group_E_Top30_Stage1,CatBoost_Optuna,0.5426,0.614,0.4861,0.851,0.43,"[[167, 37], [22, 35]]"
E9,Group_B_Financial_Health,CatBoost_calib_isotonic,0.5419,0.7368,0.4286,0.7979,0.3,"[[148, 56], [15, 42]]"
E13,Group_G_Stage1_Selected,CatBoost_Opt,0.5414,0.6316,0.4737,0.8381,0.31,"[[164, 40], [21, 36]]"
E8,Group_E_Top30_Stage1,CatBoost,0.5342,0.7544,0.4135,0.8178,0.18,"[[143, 61], [14, 43]]"
E8,Group_A_Altman_Core,RandomForest,0.5333,0.7018,0.4301,0.7935,0.42,"[[151, 53], [17, 40]]"
E14,Group_B_Financial_Health,CatBoost_isotonic_fine,0.5324675324675324,0.7192982456140351,0.422680412371134,,0.56,"[[148, 56], [16, 41]]"
E8,Group_B_Financial_Health,SVM_RBF,0.5324,0.6491,0.4512,0.781,0.41,"[[159, 45], [20, 37]]"
E13,Group_E_Top30_Stage1,SVM_RBF,0.5303,0.614,0.4667,0.834,0.52,"[[164, 40], [22, 35]]"
E13,Group_C_Dynamic_Temporal,SVM_RBF,0.5254,0.5439,0.5082,0.7557,0.45,"[[174, 30], [26, 31]]"
E10,Group_B_Financial_Health,Stack_SVM_CB_HG,0.5246,0.5614,0.4923,0.8025,0.46,"[[171, 33], [25, 32]]"
E13,Group_D_Hybrid_Extended,SVM_RBF,0.5246,0.5614,0.4923,0.836,0.49,"[[171, 33], [25, 32]]"
E13,Group_G_Stage1_Selected,SVM_RBF,0.5234,0.4912,0.56,0.7911,0.57,"[[182, 22], [29, 28]]"
E14,Group_B_Financial_Health,Vote3_soft_fine,0.5222222222222223,0.8245614035087719,0.3821138211382114,,0.705,"[[128, 76], [10, 47]]"
E10,Group_B_Financial_Health,CatBoost_BorderSMOTE,0.5222,0.8246,0.3821,0.791,0.21,"[[128, 76], [10, 47]]"
E8,Group_B_Financial_Health,HistGBM,0.52,0.6842,0.4194,0.7914,0.27,"[[150, 54], [18, 39]]"
E8,Group_D_Hybrid_Extended,SVM_RBF,0.5179,0.5088,0.5273,0.7826,0.5,"[[178, 26], [28, 29]]"
E8,Group_G_Stage1_Selected,SVM_RBF,0.5179,0.5088,0.5273,0.7826,0.5,"[[178, 26], [28, 29]]"
E9,Group_B_Financial_Health,HistGBM_Optuna,0.5098,0.6842,0.4062,0.7804,0.35,"[[147, 57], [18, 39]]"
E8,Group_A_Altman_Core,CatBoost,0.5091,0.7368,0.3889,0.7884,0.33,"[[138, 66], [15, 42]]"
E8,Group_C_Dynamic_Temporal,HistGBM,0.5043,0.5088,0.5,0.819,0.3,"[[175, 29], [28, 29]]"
E13,Group_A_Altman_Core,SVM_RBF,0.5039,0.5614,0.4571,0.7602,0.7,"[[166, 38], [25, 32]]"
E8,Group_G_Stage1_Selected,CatBoost,0.5,0.5789,0.44,0.8071,0.37,"[[162, 42], [24, 33]]"
E8,Group_D_Hybrid_Extended,CatBoost,0.4933,0.6491,0.3978,0.8056,0.29,"[[148, 56], [20, 37]]"
E13,Group_A_Altman_Core,HistGBM_Opt,0.4805,0.6491,0.3814,0.7417,0.59,"[[144, 60], [20, 37]]"
E8,Group_B_Financial_Health,CatBoost,0.4686,0.7193,0.3475,0.7827,0.24,"[[127, 77], [16, 41]]"
E13,Group_A_Altman_Core,CatBoost_Opt,0.4675,0.6316,0.3711,0.7439,0.34,"[[143, 61], [21, 36]]"
E11,Group_F_Literature,SVM_RBF,,,,0.84,,
E11,Group_F_Literature,RandomForest,,,,0.8639,,
E11,Group_F_Literature,Stack_SVM_CB_HG,,,,0.8478,,
E11,Group_D_Hybrid_Extended,HistGBM,,,,0.8281,,
E11,Group_D_Hybrid_Extended,RandomForest,,,,0.83,,
E11,Group_D_Hybrid_Extended,Stack_SVM_CB_HG,,,,0.825,,
E11,Group_F_Literature,CatBoost,,,,0.8437,,
E11,Group_F_Literature,HistGBM,,,,0.8426,,
E11,Group_D_Hybrid_Extended,CatBoost,,,,0.816,,
E11,Group_D_Hybrid_Extended,SVM_RBF,,,,0.7826,,
E11,Group_B_Financial_Health,RandomForest,,,,0.7983,,
E11,Group_B_Financial_Health,SVM_RBF,,,,0.781,,
E11,Group_B_Financial_Health,CatBoost,,,,0.7886,,
E11,Group_B_Financial_Health,Stack_SVM_CB_HG,,,,0.8122,,
E11,Group_B_Financial_Health,HistGBM,,,,0.777,,
